region_id,region_name,division,market_type,field_manager,work_orders,completion_rate,first_visit_fix_rate,repeat_visit_rate,on_time_arrival_rate,technician_utilization,overtime_hours,customer_experience_score,cost_per_work_order,data_quality_score,mismatch_count,failed_quality_checks,efficiency_gap_score,trust_gap_score,customer_impact_score,intervention_readiness,priority_score
REG06,Central Field Region 6,Central,Mixed footprint,Elena Morris,76506,86.3,67.8,15.0,84.0,90.6,3344.6,77.7,141.73,97.1,45,3,23.2,94.4,60.4,78.5,55.8
REG02,Central Field Region 2,Central,Mixed footprint,Jordan Kim,60333,87.1,73.8,14.0,85.5,91.1,2682.0,80.0,135.35,97.0,54,3,14.4,100,44.8,76.6,50.1
REG05,Mountain Field Region 5,Mountain,Suburban,Priya Nair,87588,89.8,75.8,15.5,84.1,90.2,3763.4,80.7,143.56,97.0,45,2,12.2,92.2,54.6,80.8,49.4
REG04,Atlantic Field Region 4,Atlantic,Mixed footprint,Luis Romero,70960,84.5,70.3,16.2,82.5,90.5,3293.0,87.4,147.83,97.1,43,1,25.4,86.2,34.8,84.5,49.2
REG10,Central Field Region 10,Central,Mixed footprint,Lena Murphy,61967,93.2,68.0,14.3,85.6,89.4,2633.4,82.1,135.04,97.0,50,1,13.1,98.4,37.7,80.1,47.8
REG01,Mountain Field Region 1,Mountain,Suburban,Avery Patel,113575,92.4,67.1,13.7,85.5,89.2,4838.4,81.6,136.5,97.2,41,2,14.3,84.5,51.8,83.3,47.7
REG03,Southeast Field Region 3,Southeast,Suburban,Maya Brooks,70953,89.2,75.5,14.2,84.7,90.1,3110.6,84.4,138.29,97.1,47,3,11.3,97.4,35.6,77.3,46.0
REG12,Atlantic Field Region 12,Atlantic,Mixed footprint,Rina Jackson,65549,92.1,67.2,14.2,85.4,90.2,2860.3,81.7,138.62,97.0,36,2,15.2,77.2,43.0,86.0,44.4
REG11,Southeast Field Region 11,Southeast,Suburban,Caleb Nguyen,105528,87.1,74.9,13.3,86.0,89.7,4399.8,88.5,132.71,97.3,47,3,12.2,96.5,25.3,77.6,43.9
REG09,Mountain Field Region 9,Mountain,Suburban,Owen Shah,118558,94.0,75.5,11.9,88.0,91.2,5405.3,79.3,128.23,97.3,44,2,0.7,88.8,55.1,82.2,43.8
REG08,Atlantic Field Region 8,Atlantic,Mixed footprint,Camila Torres,73207,91.1,79.1,12.8,87.0,91.5,3585.6,86.2,131.44,97.1,43,3,2.3,90.7,27.2,79.9,38.7
REG07,Southeast Field Region 7,Southeast,Suburban,Noah Grant,71109,94.5,67.3,11.3,88.7,90.8,3031.4,87.9,123.37,97.0,41,3,6.7,88.1,12.3,80.7,36.6
